CustomerID,Recency,Frequency,Monetary,Cluster,CustomerSegment,PC1,PC2
12348,75,4,1797.24,1,Loyal Customers,1.34968096,0.532370729
12349,19,1,1757.55,0,Regular Customers,0.684519238,-0.436540132
12350,310,1,334.4,2,At-Risk Customers,-2.070025774,1.680673184
12352,36,8,2506.04,1,Loyal Customers,3.401156692,1.050915392
12353,204,1,89,2,At-Risk Customers,-1.743833036,0.499533384
12354,232,1,1079.4,2,At-Risk Customers,-1.009383311,1.308278634
12355,214,1,459.4,2,At-Risk Customers,-1.466736064,0.797325992
12356,23,3,2811.43,1,Loyal Customers,2.209862415,0.430792685
12358,2,2,1168.06,0,Regular Customers,0.554834713,-0.790154625
12360,52,3,2662.06,1,Loyal Customers,1.928665958,0.63773765
12361,287,1,189.9,2,At-Risk Customers,-2.080152564,1.375413854
12363,110,2,552,0,Regular Customers,-0.54538532,-0.051549188
12364,8,4,1313.1,1,Loyal Customers,1.264143643,-0.390784438
12365,291,2,641.38,2,At-Risk Customers,-1.394643253,1.788382494
12367,4,1,168.9,0,Regular Customers,-0.647024956,-1.437654355
12371,45,2,1887.96,1,Loyal Customers,0.972512351,0.021921762
12372,72,3,1298.04,0,Regular Customers,0.616733409,0.103691694
12373,311,1,364.6,2,At-Risk Customers,-2.048380398,1.7067815
12374,25,1,742.93,0,Regular Customers,-0.24581859,-0.921672214
12375,11,2,457.5,0,Regular Customers,-0.121314053,-1.082400385
12377,315,2,1628.12,2,At-Risk Customers,-0.642919093,2.555562085
12379,82,2,852.24,0,Regular Customers,-0.135557862,-0.167623723
12380,22,4,2724.81,1,Loyal Customers,2.443943259,0.505467904
12381,5,5,1845.31,1,Loyal Customers,2.057136821,-0.003791412
12383,185,5,1850.56,1,Loyal Customers,1.138419352,1.781088382
12384,29,2,585.27,0,Regular Customers,-0.100370801,-0.835621569
12388,16,6,2780.66,1,Loyal Customers,3.135734769,0.738166762
12390,80,1,549.84,0,Regular Customers,-0.699153025,-0.480782257
12391,22,1,439.66,0,Regular Customers,-0.49930724,-1.114134554
12393,72,4,1582.6,1,Loyal Customers,1.174771376,0.387475028
12394,64,2,1272.48,0,Regular Customers,0.329362751,-0.120292268
12397,36,2,2409.9,1,Loyal Customers,1.481431245,0.212937473
12398,46,1,1635.66,0,Regular Customers,0.437946149,-0.234647678
12399,119,4,1108.65,0,Regular Customers,0.513466149,0.598428092
12401,303,1,84.3,2,At-Risk Customers,-2.255854697,1.477145152
12402,323,1,225.6,2,At-Risk Customers,-2.233175482,1.750986045
12403,50,1,427.7,0,Regular Customers,-0.653546597,-0.843343667
12405,149,1,1710.39,0,Regular Customers,-0.024172515,0.825194582
12407,50,5,1708.12,1,Loyal Customers,1.704661593,0.368095937
12408,33,5,2888.55,1,Loyal Customers,2.838434316,0.83331242
12410,309,2,693.33,2,At-Risk Customers,-1.440921764,1.994469643
12412,75,3,1226.88,0,Regular Customers,0.538253652,0.095202028
12413,67,3,758.1,0,Regular Customers,0.163673605,-0.235589233
12414,217,3,562.41,2,At-Risk Customers,-0.779301258,1.144438155
12418,113,1,668.58,0,Regular Customers,-0.763163417,-0.09034455
12420,64,1,600.39,0,Regular Customers,-0.572258041,-0.612058217
12421,16,4,807.04,0,Regular Customers,0.77443375,-0.583177892
12422,96,3,803.56,0,Regular Customers,0.055212786,0.075918612
12423,1,8,1859.31,1,Loyal Customers,3.007312575,0.357311213
12424,163,2,1760.96,2,At-Risk Customers,0.254592857,1.122003179
12425,78,1,777.2,0,Regular Customers,-0.487316706,-0.378561615
12426,195,1,582.73,2,At-Risk Customers,-1.259925036,0.675409132
12427,22,3,825.8,0,Regular Customers,0.454539228,-0.644771016
12430,43,1,256.4,0,Regular Customers,-0.769511699,-1.004580701
12434,85,2,806.14,0,Regular Customers,-0.191819506,-0.162663993
12436,100,1,509.01,0,Regular Customers,-0.837949669,-0.30468831
12438,14,2,2906.85,1,Loyal Customers,2.034882072,0.261836865
12442,3,1,172.06,0,Regular Customers,-0.639093465,-1.445858767
12445,22,1,133.4,0,Regular Customers,-0.770836349,-1.278500553
12446,58,1,1002.31,0,Regular Customers,-0.18513802,-0.455754738
12447,243,1,476.49,2,At-Risk Customers,-1.600349631,1.093608005
12448,44,1,449.45,0,Regular Customers,-0.603484048,-0.89107278
12450,156,2,197.88,2,At-Risk Customers,-1.095319819,0.213814826
12452,17,2,430.57,0,Regular Customers,-0.175969173,-1.037451314
12453,134,1,707.09,0,Regular Customers,-0.836747322,0.138230551
12455,73,6,2466.86,1,Loyal Customers,2.565119554,1.134073828
12457,66,7,2363.23,1,Loyal Customers,2.814898458,1.140217914
12458,71,2,947.4,0,Regular Customers,0.005238976,-0.225456314
12461,94,2,826.88,0,Regular Customers,-0.219600095,-0.062429979
12462,19,2,1189.59,0,Regular Customers,0.486715775,-0.610293864
12463,53,4,1344.78,1,Loyal Customers,1.061388001,0.071733376
12464,10,8,1212.05,1,Loyal Customers,2.387285381,0.09903779
12465,17,2,742.19,0,Regular Customers,0.100312095,-0.870208668
12468,188,2,729.54,2,At-Risk Customers,-0.78810685,0.815961306
12475,54,1,723.38,0,Regular Customers,-0.411917061,-0.645054442
12478,4,1,680.99,0,Regular Customers,-0.193007645,-1.16282191
12479,11,1,527.2,0,Regular Customers,-0.365266269,-1.176056706
12483,17,8,2484.98,1,Loyal Customers,3.47995202,0.851506183
12488,10,3,1298.66,0,Regular Customers,0.93533349,-0.509796978
12491,39,1,460.4,0,Regular Customers,-0.568126589,-0.934697776
12492,63,2,263.21,0,Regular Customers,-0.560322869,-0.671855489
12493,166,2,433.74,2,At-Risk Customers,-0.937505568,0.439401461
12494,16,7,1246.1,1,Loyal Customers,2.080946923,0.045650622
12497,82,1,1043.1,0,Regular Customers,-0.27209002,-0.196254952
12498,21,3,403.7,0,Regular Customers,0.0854366,-0.881207273
12504,18,2,482.05,0,Regular Customers,-0.135457019,-0.999922281
12506,233,1,73.5,2,At-Risk Customers,-1.90634079,0.778324742
12507,134,3,1304.81,0,Regular Customers,0.304685278,0.721146489
12508,26,2,397.88,0,Regular Customers,-0.251120624,-0.965892528
12509,284,1,176.5,2,At-Risk Customers,-2.076643425,1.338521202
12510,143,2,982.57,0,Regular Customers,-0.332928258,0.506243869
12512,66,2,132.18,0,Regular Customers,-0.691883172,-0.712476652
12513,113,1,612.29,0,Regular Customers,-0.813069946,-0.120554705
12514,267,1,1017.68,2,At-Risk Customers,-1.243648636,1.621666355
12516,78,2,1312.06,0,Regular Customers,0.292636418,0.03955467
12517,28,5,2481.6,1,Loyal Customers,2.503283009,0.565405601
12518,1,5,2056.89,1,Loyal Customers,2.265242334,0.070159606
12519,64,1,330.84,0,Regular Customers,-0.811240185,-0.756722408
12520,79,5,2634.26,1,Loyal Customers,2.377008767,1.152253976
12521,143,1,599.68,2,At-Risk Customers,-0.978145281,0.169688026
12522,39,2,192.72,0,Regular Customers,-0.499702791,-0.947294902
12523,19,11,1789.77,1,Loyal Customers,3.770565449,0.89138654
12526,1,3,1316.66,0,Regular Customers,0.997460836,-0.589239707
12527,82,3,348.71,0,Regular Customers,-0.276237899,-0.306798661
12528,9,6,1933.48,1,Loyal Customers,2.42053668,0.21419319
12530,60,4,1662.28,1,Loyal Customers,1.306973543,0.311434165
12531,15,1,125.22,0,Regular Customers,-0.742179795,-1.352193077
12532,30,1,349.83,0,Regular Customers,-0.619988983,-1.083142453
12534,131,1,1089.18,0,Regular Customers,-0.482598049,0.313592548
12535,92,2,716.35,0,Regular Customers,-0.30733594,-0.14155077
12538,29,1,363.95,0,Regular Customers,-0.602340392,-1.085464767
12541,30,3,981.18,0,Regular Customers,0.551259865,-0.482177705
12544,36,1,372.7,0,Regular Customers,-0.630491586,-1.011466331
12545,75,2,1000.39,0,Regular Customers,0.031700356,-0.157415846
12546,47,2,1161.5,0,Regular Customers,0.318175613,-0.348159751
12547,198,2,207.8,2,At-Risk Customers,-1.30197827,0.634953279
12548,166,1,95.2,2,At-Risk Customers,-1.543402026,0.12664772
12550,79,1,964.83,0,Regular Customers,-0.32609441,-0.267962541
12552,39,2,437.82,0,Regular Customers,-0.282397937,-0.815752727
12556,50,2,599.56,0,Regular Customers,-0.195428079,-0.620045045
12558,8,1,269.96,0,Regular Customers,-0.577944872,-1.343815306
12559,311,2,561.71,2,At-Risk Customers,-1.567875314,1.943631488
12560,5,3,2134.01,1,Loyal Customers,1.70160128,-0.110976569
12561,303,1,238.85,2,At-Risk Customers,-2.118831175,1.560090248
12564,261,1,456.9,2,At-Risk Customers,-1.710055271,1.261300509
12565,289,1,145.92,2,At-Risk Customers,-2.129404777,1.371611017
12566,86,1,351.65,0,Regular Customers,-0.905646698,-0.527746335
12571,40,2,519.61,0,Regular Customers,-0.215013036,-0.761956688
12572,9,2,1020.42,0,Regular Customers,0.388028659,-0.800088791
12573,227,1,160.54,2,At-Risk Customers,-1.798392342,0.765635973
12574,316,1,218.45,2,At-Risk Customers,-2.203605733,1.677846309
12576,36,5,1315.83,1,Loyal Customers,1.428676398,0.018953852
12577,35,3,626.6,0,Regular Customers,0.211241177,-0.622974731
12578,21,2,2794.51,1,Loyal Customers,1.899372882,0.270847778
12579,78,1,440.42,0,Regular Customers,-0.785904747,-0.559307325
12580,247,1,415.7,2,At-Risk Customers,-1.674765225,1.100584136
12581,40,1,197.71,0,Regular Customers,-0.806156525,-1.065779944
12582,239,2,511.36,2,At-Risk Customers,-1.243166617,1.203784385
12584,4,9,2338.15,1,Loyal Customers,3.722209017,0.775063285
12585,234,2,2040.1,2,At-Risk Customers,0.137858468,1.974738734
12586,17,1,196.94,0,Regular Customers,-0.688852769,-1.293901139
12587,8,1,144,0,Regular Customers,-0.689620594,-1.411416499
12588,39,1,214.9,0,Regular Customers,-0.785786083,-1.066454626
12589,29,2,646.68,0,Regular Customers,-0.045924897,-0.802663572
12591,317,1,452.85,2,At-Risk Customers,-2.000917308,1.81354627
12592,92,2,437.6,0,Regular Customers,-0.554474774,-0.291152489
12593,109,3,418.1,0,Regular Customers,-0.353222768,-0.002248568
12596,51,2,618.27,0,Regular Customers,-0.1839697,-0.600103272
12598,10,8,3023.08,1,Loyal Customers,3.992938627,1.070995459
12599,29,7,1032.58,1,Loyal Customers,1.824952807,0.059761538
12600,29,10,2599.04,1,Loyal Customers,4.131015114,1.293651855
12601,190,5,577.06,2,At-Risk Customers,-0.016310788,1.147118222
12602,59,1,153.12,0,Regular Customers,-0.943156928,-0.901604288
